County,Temperature
Adams County,55
Alexander County,59.7
Bond County,56.2
Boone County,48.8
Brown County,54.3
Bureau County,51.5
Calhoun County,56.1
Carroll County,49.7
Cass County,54.2
Champaign County,53.5
Christian County,55.3
Clark County,55.5
Clay County,56.2
Clinton County,56.9
Coles County,54.4
Cook County,50
Crawford County,55.8
Cumberland County,54.9
DeKalb County,49.6
De Witt County,53.5
Douglas County,54.1
DuPage County,50.2
Edgar County,54.5
Edwards County,57
Effingham County,55.1
Fayette County,55.6
Ford County,52.3
Franklin County,58.4
Fulton County,54.1
Gallatin County,58.5
Greene County,55.5
Grundy County,51.5
Hamilton County,58.1
Hancock County,54.3
Hardin County,59.1
Henderson County,53.6
Henry County,51.9
Iroquois County,51.6
Jackson County,58.2
Jasper County,55.7
Jefferson County,58.1
Jersey County,56.4
Jo Daviess County,48.3
Johnson County,58.8
Kane County,49.4
Kankakee County,51
Kendall County,50.8
Knox County,52.8
Lake County,48.3
LaSalle County,51.1
Lawrence County,56.3
Lee County,50.8
Livingston County,52.1
Logan County,54.2
McDonough County,53.7
McHenry County,48.1
McLean County,52.8
Macon County,54
Macoupin County,55.7
Madison County,56.9
Marion County,56.5
Marshall County,52.6
Mason County,54.5
Massac County,60.2
Menard County,54.3
Mercer County,52.9
Monroe County,57.9
Montgomery County,55.8
Morgan County,54.4
Moultrie County,53.8
Ogle County,49.7
Peoria County,53.7
Perry County,58.1
Piatt County,53.6
Pike County,54.9
Pope County,59.4
Pulaski County,59.7
Putnam County,52
Randolph County,57.7
Richland County,56.2
Rock Island County,52.4
St. Clair County,57.8
Saline County,58.5
Sangamon County,54.8
Schuyler County,54.2
Scott County,54.6
Shelby County,54.3
Stark County,52.4
Stephenson County,48.2
Tazewell County,54
Union County,58
Vermilion County,53.1
Wabash County,57.2
Warren County,53.1
Washington County,57.5
Wayne County,57.2
White County,57.8
Whiteside County,51.2
Will County,50.7
Williamson County,58.3
Winnebago County,49.1
Woodford County,52.9
Adams County,51.2
Allen County,50.9
Bartholomew County,54.5
Benton County,51.2
Blackford County,51.8
Boone County,52
Brown County,54.4
Carroll County,51.8
Cass County,51.1
Clark County,56.9
Clay County,54.7
Clinton County,51.7
Crawford County,56.5
Daviess County,56.4
Dearborn County,55.3
Decatur County,54.1
DeKalb County,49.6
Delaware County,52.4
Dubois County,56.7
Elkhart County,49.2
Fayette County,53
Floyd County,57.4
Fountain County,52.5
Franklin County,54
Fulton County,50.1
Gibson County,57.7
Grant County,52
Greene County,55.4
Hamilton County,52.6
Hancock County,53.2
Harrison County,57.3
Hendricks County,52.9
Henry County,52.2
Howard County,51.3
Huntington County,51.4
Jackson County,55.2
Jasper County,50
Jay County,51.4
Jefferson County,56.2
Jennings County,55.3
Johnson County,54.1
Knox County,56.4
Kosciusko County,49.8
LaGrange County,48.9
Lake County,49.4
LaPorte County,48.8
Lawrence County,55.3
Madison County,52.5
Marion County,53.6
Marshall County,49.2
Martin County,56.3
Miami County,51.2
Monroe County,54.7
Montgomery County,51.7
Morgan County,54.4
Newton County,50.4
Noble County,49.4
Ohio County,56.2
Orange County,56.3
Owen County,54.8
Parke County,52.9
Perry County,56.1
Pike County,57
Porter County,48.9
Posey County,58.4
Pulaski County,49.9
Putnam County,52.7
Randolph County,51.6
Ripley County,54.7
Rush County,53.2
St. Joseph County,49
Scott County,56.1
Shelby County,54.2
Spencer County,57
Starke County,49.3
Steuben County,48.3
Sullivan County,55.8
Switzerland County,56.6
Tippecanoe County,52.1
Tipton County,51.7
Union County,53.2
Vanderburgh County,59
Vermillion County,53.6
Vigo County,55.3
Wabash County,51.3
Warren County,52.3
Warrick County,57.8
Washington County,55.9
Wayne County,52.2
Wells County,51.5
White County,51
Whitley County,50.5
Adair County,50.8
Adams County,51.3
Allamakee County,45.6
Appanoose County,54
Audubon County,49.7
Benton County,50.3
Black Hawk County,49.3
Boone County,50.7
Bremer County,47.7
Buchanan County,48.1
Buena Vista County,48.1
Butler County,48.5
Calhoun County,49.6
Carroll County,49.9
Cass County,50.9
Cedar County,51.7
Cerro Gordo County,47
Cherokee County,48.4
Chickasaw County,46.3
Clarke County,51.9
Clay County,48
Clayton County,46.3
Clinton County,50.9
Crawford County,49.7
Dallas County,51.8
Davis County,53.3
Decatur County,52.7
Delaware County,47.6
Des Moines County,53.4
Dickinson County,46.9
Dubuque County,47.9
Emmet County,47.5
Fayette County,45.7
Floyd County,46.9
Franklin County,48
Fremont County,53.3
Greene County,50.4
Grundy County,48.9
Guthrie County,50.8
Hamilton County,48.7
Hancock County,47.9
Hardin County,48.9
Harrison County,51.3
Henry County,52.6
Howard County,45
Humboldt County,49.2
Ida County,49
Iowa County,51.4
Jackson County,49.3
Jasper County,51.7
Jefferson County,51.9
Johnson County,52.3
Jones County,49.5
Keokuk County,51.9
Kossuth County,49
Lee County,53.7
Linn County,50.5
Louisa County,53.7
Lucas County,52.4
Lyon County,47.4
Madison County,51.5
Mahaska County,52.8
Marion County,52.8
Marshall County,49.6
Mills County,52.7
Mitchell County,45.6
Monona County,50.5
Monroe County,53.5
Montgomery County,52
Muscatine County,53.3
O&#039;Brien County,48
Osceola County,46.9
Page County,52.8
Palo Alto County,48.4
Plymouth County,48.9
Pocahontas County,48.8
Polk County,52.1
Pottawattamie County,51.7
Poweshiek County,51.2
Ringgold County,52
Sac County,49.2
Scott County,52.2
Shelby County,50.1
Sioux County,47.9
Story County,50.6
Tama County,49.5
Taylor County,52.1
Union County,51.3
Van Buren County,52.5
Wapello County,53
Warren County,52.2
Washington County,52.4
Wayne County,52.8
Webster County,49.1
Winnebago County,47
Winneshiek County,45.7
Woodbury County,49.6
Worth County,46.3
Wright County,48
Allen County,57.3
Anderson County,56.9
Atchison County,55.1
Barber County,58
Barton County,55.4
Bourbon County,57.4
Brown County,54.5
Butler County,57.8
Chase County,57.6
