County,Temperature
Henrico County,61.1
Henry County,60.9
Highland County,53.6
Isle of Wight County,62
James City County,61.9
King and Queen County,61
King George County,60.1
King William County,61
Lancaster County,60.9
Lee County,59.2
Loudoun County,57.5
Louisa County,60.1
Lunenburg County,61.1
Madison County,57
Mathews County,61.6
Mecklenburg County,61.6
Middlesex County,61.2
Montgomery County,57.3
Nelson County,59.5
New Kent County,61.3
Northampton County,61.1
Northumberland County,60.4
Nottoway County,61.1
Orange County,59
Page County,55.6
Patrick County,58.8
Pittsylvania County,61.4
Powhatan County,61.2
Prince Edward County,61.1
Prince George County,61.8
Prince William County,59
Pulaski County,56.7
Rappahannock County,56
Richmond County,60.7
Roanoke County,59
Rockbridge County,58.9
Rockingham County,56.5
Russell County,57.3
Scott County,59.4
Shenandoah County,55.5
Smyth County,55.1
Southampton County,61.8
Spotsylvania County,59.1
Stafford County,59.2
Surry County,61.8
Sussex County,61.7
Tazewell County,54.7
Warren County,55.5
Washington County,57.7
Westmoreland County,60.3
Wise County,57.1
Wythe County,55
York County,62.1
Alexandria City,60
Bristol City,59.4
Buena Vista City,60
Charlottesville City,60.2
Chesapeake City,62.7
Colonial Heights City,61.6
Covington City,59.1
Danville City,62.4
Emporia City,61.6
Fairfax City,58.5
Falls Church City,58.7
Franklin City,61.9
Fredericksburg City,59
Galax City,55.6
Hampton City,62.8
Harrisonburg City,57.8
Hopewell City,61.8
Lynchburg City,60.6
Manassas City,58.8
Manassas Park City,58.8
Martinsville City,60.8
Newport News City,62.5
Norfolk City,63.4
Norton City,57.5
Petersburg City,61.6
Poquoson City,62.6
Portsmouth City,63.3
Radford City,57.3
Richmond City,61
Roanoke City,60.3
Salem City,60.1
Staunton City,58.4
Suffolk City,62.2
Virginia Beach City,62.6
Waynesboro City,58.6
Williamsburg City,61.8
Winchester City,55.3
Adams County,50
Asotin County,48.2
Benton County,53
Chelan County,43.7
Clallam County,47
Clark County,51.8
Columbia County,46.5
Cowlitz County,49.8
Douglas County,49.9
Ferry County,43.9
Franklin County,51.8
Garfield County,47.7
Grant County,52.2
Grays Harbor County,48.7
Island County,51.5
Jefferson County,44.6
King County,47.3
Kitsap County,51.6
Kittitas County,45.4
Klickitat County,48
Lewis County,46.9
Lincoln County,47.6
Mason County,48
Okanogan County,43.6
Pacific County,49
Pend Oreille County,43.7
Pierce County,46.3
San Juan County,51.8
Skagit County,46.5
Skamania County,44.4
Snohomish County,46.6
Spokane County,47.4
Stevens County,46.4
Thurston County,49.9
Wahkiakum County,49.8
Walla Walla County,51.8
Whatcom County,44.9
Whitman County,49.2
Yakima County,46.2
Barbour County,54.3
Berkeley County,55.1
Boone County,56.7
Braxton County,55.3
Brooke County,51
Cabell County,56.4
Calhoun County,55.3
Clay County,56.1
Doddridge County,54.5
Fayette County,55.4
Gilmer County,55.1
Grant County,53.7
Greenbrier County,54
Hampshire County,54.3
Hancock County,50.6
Hardy County,54.4
Harrison County,54.9
Jackson County,55.5
Jefferson County,56.2
Kanawha County,57.2
Lewis County,55.2
Lincoln County,57.2
Logan County,57
McDowell County,56.6
Marion County,54.3
Marshall County,52.4
Mason County,54.6
Mercer County,54.6
Mineral County,55
Mingo County,57.7
Monongalia County,53.4
Monroe County,56.1
Morgan County,53.9
Nicholas County,53.9
Ohio County,51.2
Pendleton County,53.9
Pleasants County,54.9
Pocahontas County,50.7
Preston County,52.2
Putnam County,56.3
Raleigh County,55
Randolph County,50.9
Ritchie County,54.9
Roane County,56
Summers County,56.2
Taylor County,54.4
Tucker County,50.9
Tyler County,54.1
Upshur County,54.3
Wayne County,57
Webster County,51.8
Wetzel County,53.4
Wirt County,55.5
Wood County,55.8
Wyoming County,56.1
Adams County,44.6
Ashland County,38
Barron County,42
Bayfield County,38.5
Brown County,43.6
Buffalo County,45.1
Burnett County,42.2
Calumet County,44.1
Chippewa County,43.2
Clark County,43.6
Columbia County,45.8
Crawford County,45.9
Dane County,46.6
Dodge County,44.9
Door County,41.2
Douglas County,39.8
Dunn County,43.8
Eau Claire County,44.2
Florence County,38.1
Fond du Lac County,44.3
Forest County,37.8
Grant County,47
Green County,47.4
Green Lake County,45.4
Iowa County,46.3
Iron County,36.7
Jackson County,44.9
Jefferson County,46.2
Juneau County,44.7
Kenosha County,47.1
Kewaunee County,42.4
La Crosse County,46.2
Lafayette County,47
Langlade County,39.3
Lincoln County,39.5
Manitowoc County,43
Marathon County,42.4
Marinette County,40.8
Marquette County,45.4
Menominee County,41.6
Milwaukee County,45.4
Monroe County,45.1
Oconto County,41.8
Oneida County,37.8
Outagamie County,44.4
Ozaukee County,43.7
Pepin County,44.9
Pierce County,45.3
Polk County,43
Portage County,44
Price County,39
Racine County,46.4
Richland County,45.8
Rock County,47.5
Rusk County,41.6
St. Croix County,44.7
Sauk County,45.7
Sawyer County,40
Shawano County,42.7
Sheboygan County,43.4
Taylor County,41.6
Trempealeau County,45.1
Vernon County,45.1
Vilas County,36.7
Walworth County,46.4
Washburn County,41.1
Washington County,44
Waukesha County,45.7
Waupaca County,44.3
Waushara County,44.8
Winnebago County,45.1
Wood County,44.4
Albany County,37.5
Big Horn County,41.6
Campbell County,43.1
Carbon County,38.7
Converse County,41.4
Crook County,42.7
Fremont County,39
Goshen County,45.3
Hot Springs County,41.1
Johnson County,41.4
Laramie County,43.6
Lincoln County,37.1
Natrona County,41.2
Niobrara County,44
Park County,37.4
Platte County,44.2
Sheridan County,41
Sublette County,34.2
Sweetwater County,41.2
Teton County,33.7
Uinta County,38.7
Washakie County,43
Weston County,43.1
